Chemin_image,Taille_image,Chemin_masque,Taille_masque
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_100_v_(video_3062.mp4)_s_0_f_1751_gt.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_100_v_(video_3062.mp4)_s_0_f_1751_gt.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_100_v_(video_3062.mp4)_s_0_f_1752.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_100_v_(video_3062.mp4)_s_0_f_1752.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3124.mp4)_s_0_f_92.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3124.mp4)_s_0_f_92.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3124.mp4)_s_0_f_93.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3124.mp4)_s_0_f_93.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3124.mp4)_s_0_f_94.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3124.mp4)_s_0_f_94.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3124.mp4)_s_0_f_95.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3124.mp4)_s_0_f_95.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3124.mp4)_s_0_f_96.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3124.mp4)_s_0_f_96.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3124.mp4)_s_0_f_97_gt.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3124.mp4)_s_0_f_97_gt.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3124.mp4)_s_0_f_98.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3124.mp4)_s_0_f_98.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1558.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1558.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1559.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1559.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1560.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1560.png,"(640, 360)"
